experiment,n_seeds,success_rate_mean,success_rate_std,true_bits_per_msg_mean,true_bits_per_msg_std,hist_H_empirical_mean,hist_H_empirical_std,hist_qphi_gap_mean,hist_qphi_gap_std,dither_loss_mean,dither_loss_std,H_dither_channel_mean,H_dither_channel_std,mean_frac_mean,mean_frac_std,policy_loss_mean,policy_loss_std,value_loss_mean,value_loss_std,entropy_loss_mean,entropy_loss_std,max_update_mean
geom_both,5,0.963,0.0427,5.4168,0.3213,7.3834,0.7706,0.003,0.011,,,,,,,,,0.3447,0.2087,,,731.0
geom_both_v2,5,1.0,0.0,5.5841,0.3037,4.5906,0.4048,0.1529,0.1048,,,,,,,,,0.0001,0.0001,,,731.0
geom_dither_only,5,0.965,0.0166,5.865,0.3574,8.0607,0.3062,0.0012,0.0106,,,,,,,,,0.2042,0.1424,,,731.0
geom_dither_only_v2,5,1.0,0.0,6.2997,0.3253,5.3653,0.2151,0.2657,0.2644,,,,,,,,,0.0001,0.0001,,,731.0
geom_mag_only,5,1.0,0.0,7.0389,0.8746,,,,,,,,,,,,,0.0001,0.0,,,487.0
geom_no_anchor,5,1.0,0.0,8.7366,0.2951,,,,,,,,,,,,,0.0001,0.0,,,487.0
live_A_posthoc,5,1.0,0.0,7.0389,0.8746,,,,,,,,,,,,,0.0001,0.0,,,487.0
live_B_live_sc,5,1.0,0.0,20.0625,0.5141,7.051,0.3496,2.2083,0.7834,,,,,,,,,0.0002,0.0001,,,487.0
live_C_live_dither,5,0.98,0.0154,7.6748,0.8567,7.8262,0.2298,0.0022,0.0056,,,,,,,,,0.0671,0.0576,,,731.0
mag_lam1e-2,5,0.558,0.0168,1.4995,0.004,,,,,,,,,,,,,0.0229,0.0033,,,487.0
mag_lam1e-3,5,1.0,0.0,6.5185,0.3667,,,,,,,,,,,,,0.0001,0.0,,,487.0
mag_lam1e-4,5,1.0,0.0,8.2847,0.405,,,,,,,,,,,,,0.0001,0.0,,,487.0
mag_lam1e-5,5,1.0,0.0,8.5091,0.2588,,,,,,,,,,,,,0.0001,0.0,,,487.0
mag_lam3e-2,5,0.551,0.0119,1.4995,0.0039,,,,,,,,,,,,,0.0236,0.0018,,,487.0
mag_lam4e-3,5,0.856,0.2072,3.4873,1.6935,,,,,,,,,,,,,0.0067,0.0102,,,487.0
mag_lam5e-4,5,1.0,0.0,7.0389,0.8746,,,,,,,,,,,,,0.0001,0.0,,,487.0
no_comms,5,1.0,0.0,8.7366,0.2951,,,,,,,,,,,,,0.0001,0.0,,,487.0
nsd_posthoc_mag,5,1.0,0.0,8.3973,0.857,,,,,0.0,0.0,2.3123,0.2125,0.4059,0.0787,,,0.0001,0.0,,,487.0
nsd_twophase_dither5e-4_v2,5,1.0,0.0,6.8303,0.8092,7.5112,0.5254,0.0559,0.1297,0.003,0.0051,0.5373,0.151,0.4914,0.0082,,,0.0001,0.0,,,731.0
pareto_mag_lam1e-2,5,0.558,0.0168,1.4995,0.004,,,,,,,,,,,,,0.0229,0.0033,,,487.0
pareto_mag_lam1e-3,5,1.0,0.0,6.5185,0.3667,,,,,,,,,,,,,0.0001,0.0,,,487.0
pareto_mag_lam1e-4,5,1.0,0.0,8.2847,0.405,,,,,,,,,,,,,0.0001,0.0,,,487.0
pareto_mag_lam1e-5,5,1.0,0.0,8.5091,0.2588,,,,,,,,,,,,,0.0001,0.0,,,487.0
pareto_mag_lam3e-2,5,0.551,0.0119,1.4995,0.0039,,,,,,,,,,,,,0.0236,0.0018,,,487.0
pareto_mag_lam4e-3,5,0.856,0.2072,3.4873,1.6935,,,,,,,,,,,,,0.0067,0.0102,,,487.0
pareto_mag_lam5e-4,5,1.0,0.0,7.0389,0.8746,,,,,,,,,,,,,0.0001,0.0,,,487.0
pareto_sc_lam1e-2,5,0.815,0.2237,22.7089,0.3242,6.446,1.3221,3.3265,1.561,,,,,,,,,0.0155,0.0112,,,487.0
pareto_sc_lam1e-3,5,1.0,0.0,21.0193,0.415,6.7954,0.2633,3.3253,1.0673,,,,,,,,,0.0003,0.0003,,,487.0
pareto_sc_lam1e-4,5,1.0,0.0,8.8861,0.9828,7.1337,0.2097,0.1583,0.1537,,,,,,,,,0.0001,0.0,,,487.0
pareto_sc_lam1e-5,5,1.0,0.0,8.002,0.2762,6.8872,0.3562,0.1287,0.1394,,,,,,,,,0.0001,0.0,,,487.0
pareto_sc_lam3e-2,5,0.641,0.1869,23.1047,0.0801,4.8229,2.2488,5.0409,3.6155,,,,,,,,,0.022,0.0091,,,487.0
pareto_sc_lam4e-3,5,0.894,0.1739,22.6183,0.3253,6.4002,1.2947,3.9606,1.5451,,,,,,,,,0.0078,0.0095,,,487.0
pareto_sc_lam5e-4,5,1.0,0.0,20.0625,0.5141,7.051,0.3496,2.2083,0.7834,,,,,,,,,0.0002,0.0001,,,487.0
sc_live_both,5,1.0,0.0,21.0668,0.6367,6.9018,0.3498,3.4202,2.0961,,,,,,,,,0.0003,0.0002,,,487.0
sc_live_entropy,5,1.0,0.0,20.0625,0.5141,7.051,0.3496,2.2083,0.7834,,,,,,,,,0.0002,0.0001,,,487.0
